customer_id,first_name,last_name,date_of_birth,pan_number,email,phone_number,kyc_status,branch_code,created_at,updated_at
1001,Vikram,Gupta,1970-02-12,QAHFT6804A,vikram.gupta73@gmail.com,9708562115,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1002,Anjali,Desai,1975-09-13,CGPOS7442A,anjali.desai13@gmail.com,8382336698,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1003,Sneha,Reddy,1971-11-02,TEKHF7133L,sneha.reddy69@gmail.com,8927495515,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1004,Suresh,Jain,1988-12-21,PUSNZ3586L,suresh.jain59@gmail.com,9757442398,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1005,Pooja,Kumar,1995-03-18,PSBFH0212U,pooja.kumar16@gmail.com,8114316200,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1006,Vikram,Mehta,1969-08-23,VEJRS6065H,vikram.mehta55@gmail.com,9117593027,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1007,Kavita,Verma,2000-01-14,EJZQO6872B,kavita.verma17@gmail.com,9672564421,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1008,Rahul,Mehta,1960-11-03,UKBXO7248U,rahul.mehta69@gmail.com,9459508941,PENDING,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1009,Vikram,Jain,1977-01-15,LGGOG5832E,vikram.jain74@gmail.com,9668710325,PENDING,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1010,Sneha,Kumar,1984-06-16,NCBCQ7403O,sneha.kumar58@gmail.com,9352903002,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1011,Sneha,Jain,1972-06-05,NZWAS6526D,sneha.jain40@gmail.com,9507740539,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1012,Suresh,Reddy,1969-07-20,HEASS9751U,suresh.reddy57@gmail.com,9446250620,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1013,Pooja,Kumar,1981-12-21,HQPDT5750K,pooja.kumar56@gmail.com,9405646659,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1014,Anjali,Verma,1974-12-30,MCJZU2250X,anjali.verma59@gmail.com,9599789776,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1015,Suresh,Gupta,1965-02-09,MBTTD4528N,suresh.gupta56@gmail.com,9525238451,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1016,Suresh,Singh,1999-03-23,ZYTRS3638O,suresh.singh55@gmail.com,8407530582,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1017,Rahul,Verma,1961-12-06,DFIPF2062B,rahul.verma89@gmail.com,9767720640,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1018,Rohit,Kumar,1963-04-10,WBGRF1954Z,rohit.kumar52@gmail.com,9624929859,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1019,Pooja,Kumar,1995-01-23,MKCRJ4806U,pooja.kumar97@gmail.com,9249819242,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1020,Neha,Desai,1964-08-24,CKIWG1442H,neha.desai8@gmail.com,9454246574,PENDING,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1021,Suresh,Iyer,1985-08-19,WBVWC6500Y,suresh.iyer89@gmail.com,9287447918,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1022,Priya,Desai,1986-04-03,WEMFK0392Z,priya.desai79@gmail.com,9667455472,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1023,Rohit,Patel,1993-11-05,UHSSU6412B,rohit.patel11@gmail.com,9652284764,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1024,Neha,Desai,1991-09-25,POTBP5819C,neha.desai76@gmail.com,8775891673,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1025,Priya,Sharma,1989-01-03,WBBWK9550C,priya.sharma16@gmail.com,9831695456,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1026,Pooja,Singh,1999-02-17,KPNYF7236J,pooja.singh77@gmail.com,9891255178,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1027,Amit,Reddy,1965-03-14,LYYAQ5055E,amit.reddy25@gmail.com,9322318361,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1028,Priya,Verma,1992-03-20,YWWJE8769U,priya.verma47@gmail.com,9981395997,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1029,Kavita,Kumar,1964-07-14,NROYC8287E,kavita.kumar21@gmail.com,8719424424,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1030,Rohit,Patel,1973-03-13,HPSFQ2498C,rohit.patel49@gmail.com,9893401689,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1031,Priya,Patel,1983-01-09,QVBID9147R,priya.patel33@gmail.com,9533157184,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1032,Ramesh,Reddy,1967-08-01,ABWXO8511J,ramesh.reddy17@gmail.com,9988727626,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1033,Amit,Singh,1977-08-02,JYZBJ6635N,amit.singh44@gmail.com,9067519093,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1034,Sneha,Verma,1967-11-10,ZTYGE7141K,sneha.verma74@gmail.com,9333365966,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1035,Sneha,Mehta,1974-01-19,UKRTG1730P,sneha.mehta85@gmail.com,9677383327,REJECTED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1036,Kavita,Jain,1968-01-14,FVLHU2013C,kavita.jain84@gmail.com,9781500431,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1037,Priya,Desai,1990-12-06,ZHQKZ5919F,priya.desai79@gmail.com,9888610306,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1038,Priya,Jain,1996-12-21,PZAPI7491S,priya.jain27@gmail.com,9263455226,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1039,Rahul,Jain,1965-12-16,EBLNU6971N,rahul.jain15@gmail.com,9836448330,PENDING,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1040,Priya,Gupta,1974-02-13,BRIIW7334M,priya.gupta58@gmail.com,9529432516,PENDING,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1041,Vikram,Jain,1986-07-15,SOERJ7154A,vikram.jain56@gmail.com,8060706773,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1042,Anjali,Patel,2000-03-16,HFUPI4657Z,anjali.patel75@gmail.com,9143522042,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1043,Ramesh,Desai,1962-01-23,TRHRQ0923Z,ramesh.desai64@gmail.com,9343171524,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1044,Rahul,Desai,1972-04-28,FAGMW0461W,rahul.desai2@gmail.com,9016820622,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1045,Pooja,Sharma,1982-11-12,JKDRX8872Z,pooja.sharma68@gmail.com,9960197346,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1046,Rahul,Singh,1975-02-25,YNBGW4869T,rahul.singh46@gmail.com,9001478512,VERIFIED,BR001,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1047,Vikram,Gupta,1978-02-22,ITLVX4941P,vikram.gupta54@gmail.com,9324451663,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1048,Pooja,Jain,1997-01-14,LTVHU4247H,pooja.jain97@gmail.com,8860913046,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1049,Ramesh,Iyer,1983-03-14,HIODG6704R,ramesh.iyer58@gmail.com,9667718320,PENDING,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1050,Vikram,Mehta,1961-11-10,MBVKU9085P,vikram.mehta41@gmail.com,8014383961,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1051,Neha,Kumar,1963-12-09,AJTWY4756H,neha.kumar74@gmail.com,9017822571,VERIFIED,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1052,Anjali,Sharma,1992-08-12,MHMKR7789T,anjali.sharma15@gmail.com,9845923475,VERIFIED,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1053,Ramesh,Desai,1998-05-08,NXPRC4812K,ramesh.desai4@gmail.com,9865607529,PENDING,BR002,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1054,Priya,Desai,1964-05-29,FITJT8200R,priya.desai81@gmail.com,9925257820,PENDING,BR003,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1055,Neha,Yadav,2000-01-06,BYFBY0028T,neha.yadav48@gmail.com,9224101331,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
1056,Kavita,Gupta,1961-11-20,DDROF6716X,kavita.gupta84@gmail.com,9506281494,VERIFIED,BR004,2026-05-16 10:42:25.5785657,2026-05-16 10:42:25.5785657
